text
Quote #1 Landail: You attacking me in game! Dragonsoul: :O I'll revive later though! :D - Late 2016 //prints the specific quote #
"Quote #2 So, my uncle died. Guess it's adventuring time! - Landail Dec 16, 2016 //prints the specific quote #"
"Quote #251 What is that pumpkin doing to her!? clips.twitch.tv/YummyTenderKuduSoonerLater - Landail October 28, 2019 //prints the specific quote #"
"Quote #252 Goddmn Pumpkins! - Landail October 30, 2019 //prints the specific quote #"
"Quote #253 I'm not naked anymore! Wooooo! Well I mean I'm naked but I mean... - Landail clips.twitch.tv/EvilAntsyMooseCoolStoryBro - November 03, 2019 //prints the specific quote #"
"Quote #254 75 percent my ass. - Landail November 08, 2019 //prints the specific quote #"
"Quote #255 I'm just gonna keep on trying game, GIMME it! - Landail November 08, 2019 //prints the specific quote #"
"Quote #256 Direa'?That sounds like something completely different. His first name better not be 'watery'. - Landail clips.twitch.tv/WealthyOriginalShingleMcaT - November 09, 2019 //prints the specific quote #"
"Quote #257 Gotta love 'Nibelung Valesti'.. or as Lezard would say 'Nibelung Molesti' - Landail November 27, 2019 //prints the specific quote #"
"Quote #258 Jrps always like their pretty boys. - Landail November 27, 2019 //prints the specific quote #"
"Quote #259 Great magic is really great. - November 29, 2019 //prints the specific quote #"
"Quote #260 Maggerino: ""!waifu"" TheSevBot: ""They all have you blacklisted Maggerino. Your onion obsession appalls them"" - November 30, 2019 //prints the specific quote #"
"Quote #261 Man i don't wanna say she was a bitch, but that's technically what she was. - Landail clips.twitch.tv/UgliestFriendlyGiraffeBudStar - December 03, 2019 //prints the specific quote #"
"Quote #262 I played Whale's Voyage. Enough Said. - Landail December 13, 2019 //prints the specific quote #"
"Quote #263 Good boys don't become bad boys. - Landail December 14, 2019 //prints the specific quote #"
"Quote #264 That's some rng bullshit right there.. - Landail December 15, 2019 //prints the specific quote #"
"Quote #265 I don't know if I want a random old man in the street say he wants to teach me a few things - Landail clips.twitch.tv/TardyAbrasivePotWholeWheat - December 22, 2019 //prints the specific quote #"
"Quote #266 Why don't you hatch the egg? - Landail December 22, 2019 //prints the specific quote #"
"Quote #267 Pidgey is undeniably kinda stimulating. - Landail Pokemon Crystal December 24, 2019 //prints the specific quote #"
"Quote #268 JonTrekGamer: i always liked that shirtless balding fat guy npc - December 28, 2019 //prints the specific quote #"
"Quote #269 My index finger is getting so sore! - Landail January 02, 2020 //prints the specific quote #"
"Quote #270 Butt Blaster, success! - Landail January 03, 2020 //prints the specific quote #"
"Quote #271 Right in the Blue Balls! - Landail January 07, 2020 //prints the specific quote #"
"Quote #272 The harder you push the more it goes - landail January 07, 2020 //prints the specific quote #"
"Quote #273 You can tell where they put most of her polygons. - Landail January 08, 2020 //prints the specific quote #"
"Quote #274 Aww man. First fight and I'm almost dead. - Landail January 09, 2020 //prints the specific quote #"
"Quote #275 His outie becomes an innie at that point - Landail January 10, 2020 //prints the specific quote #"
"Quote #276 That's the shortest lance I've ever seen - Landail January 10, 2020 //prints the specific quote #"
"Quote #277 What is he doing with hand over there? clips.twitch.tv/BlueCourteousLettuceTF2John - Landail January 10, 2020 //prints the specific quote #"
"Quote #278 I'm not a masochist. I just enjoy pain. - Landail January 17, 2020 //prints the specific quote #"
"Quote #279 Quack Quack Quack! - Landail February 08, 2020 //prints the specific quote #"
"Quote #280 There was a lot of violence, nudity, sex, all that stuff. It's perfect, the combination of everything you want. - Landail www.twitch.tv/landail/clip/ObliqueRichRabbitWutFace March 30, 2020 //prints the specific quote #"
"Quote #281 Ooohh, that smarts! - Landail clips.twitch.tv/SeductiveHandsomeFalconCmonBruh - Landail April 05, 2020 //prints the specific quote #"
"Quote #282 Lookout! It's the nazi's! - April 13, 2020 //prints the specific quote #"
"Quote #283 BORF - Doggo clips.twitch.tv/ProtectiveHeartlessKaleRalpherZ - April 26, 2020 //prints the specific quote #"
"Quote #284 isitdeadyetisitdeadyetisitdeadyet - Landail clips.twitch.tv/DeterminedWittyOtterSmoocherZ - April 26, 2020 //prints the specific quote #"
"Quote #285 Translator of Evolution: Eternal Dungeons: I'll show you the true - April 26, 2020 //prints the specific quote #"
"Quote #286 WHAT THE HELL STUPID YOU DO!! - Evolution: Eternal Dungeons clips.twitch.tv/BoringAwkwardParrotFloof - April 26, 2020 //prints the specific quote #"
"Quote #287 This game isn't as terrible ...... I'm kind of glad the a.i. is stupid. - Landail April 27, 2020 //prints the specific quote #"
"Quote #288 Those tanks are tanky as hell! - Landail April 27, 2020 //prints the specific quote #"
"Quote #289 Don't worry. She's into younger boys. - Landail May 02, 2020 //prints the specific quote #"
"Quote #290 I am happy they don't give the child form jiggle physics though, cause that would just be very weird... although she is slightly well endowed for a child. - Landail clips.twitch.tv/PeacefulAssiduousCheesePanicVis May 02, 2020 //prints the specific quote #"
"Quote #291 See? She doesn't seem to have jiggle physics. - Landail May 02, 2020 //prints the specific quote #"
"Quote #292 That's like watching someone through a window, watching a screen.... Ultimate Voyeur. - Landail May 14, 2020 //prints the specific quote #"
"Quote #293 The door opens because of your nice body. - Landail May 15, 2020 //prints the specific quote #"
"Quote #294 I gotta stop picking up crap. - Landail May 28, 2020 //prints the specific quote #"
"Quote #295 God I'm already getting my ass handed to me. - Landail May 29, 2020 //prints the specific quote #"
"Quote #296 demonicmaniac1: He'd rather have - an rpg waifu - take a diarrhea dump in his ear - May 30, 2020 //prints the specific quote #"
"Quote #297 It's FINALLY coming! - Landail May 31, 2020 //prints the specific quote #"
"Quote #298 Why did I bone myself so badly..? - Landail May 31, 2020 //prints the specific quote #"
"Quote #299 Sheep waifu? Are you visiting the barn again, Zerodyne? - Landail June 05, 2020 //prints the specific quote #"
"Quote #300 Look at that chin! Put the mask back on! Put the mask back on!! - Landail June 11, 2020 //prints the specific quote #"
"Quote #301 TheSevBot: Database Database, Just living in the Database Wow Wow, The wall of pure fiction's cracking in my head, And the addiction of my world still spreads. - June 11, 2020 //prints the specific quote #"
"Quote #302 TheSevBot: Sev finally is getting around to give me a little attention. He's expanding my database. - June 11, 2020 //prints the specific quote #"
"Quote #303 Alright!?!? Load or store buss error... - clips.twitch.tv/SuccessfulExuberantFungusWoofer Landail June 11, 2020 //prints the specific quote #"
"Quote #304 You guys make a wish. I wish for this game to be over.. ayy, game over! - Landail clips.twitch.tv/RichAlluringPeppermintSuperVinlin June 11, 2020 //prints the specific quote #"
"Quote #305 demonicmaniac1: The true game would be fishing for fish waifus with rpg mechanic levelups and then gambling against the fish waifus you caught - June 12, 2020 //prints the specific quote #"
"Quote #306 Blacksmith: A mighty spell, a mighty spell, a mighty spell, a mighty spell..... yeaaah, alright - June 14, 2020 //prints the specific quote #"
"Quote #307 Sevwren - Lan's blown up at least 20+ cities so far... Killed countless entire families and children, used at least 10+ toilets in Rpg Quest... Lan - Don't forget the planets, we've blown up at least a few of those. - June 14, 2020 //prints the specific quote #"
"Quote #308 They're like rubbing my leg. - Landail July 09, 2020 //prints the specific quote #"
"Quote #309 ghostribbon: oh this is the game i always saw that had fabio dressed up like a medieval batman on the cover - July 10, 2020 //prints the specific quote #"
"Quote #310 I don't care if there is a true ending. I ain't catching every other fish - Landail, Legen of the River King 2 July 12, 2020 //prints the specific quote #"
"Quote #311 GregsRetroChannel2: Skipping head eh?? GregsRetroChannel2: ahead - August 19, 2021 //prints the specific quote #"
"Quote #312 Time to run away. She's a pedophile. Stranger Danger! - Landail September 16, 2021 //prints the specific quote #"
"Quote #313 My God, the amount of lore in this game is just stooooopid. - Landail September 21, 2021 //prints the specific quote #"
"Quote #314 dingo2345: sniffed his own fart for 14 hours, time well spent - September 24, 2021 //prints the specific quote #"
"Quote #315 I am kind of badass there. - Landail September 30, 2021 //prints the specific quote #"
"Quote #316 Spudmuffin: enchanters overcharging BabyRage thanks capitalism - September 30, 2021 //prints the specific quote #"
"Quote #317 Npcjuwow: do you have a nipple ring lan? Landail: No. - October 01, 2021 //prints the specific quote #"
"Quote #318 That's awesome!!! And.... I'm dead. - Landail October 01, 2021 //prints the specific quote #"
"Quote #319 npcjuwow: lan, do you think one can live sole on coockies and energy drinks? - October 06, 2021 //prints the specific quote #"
"Quote #320 Thanks for pooping me out game. - Landail October 06, 2021 //prints the specific quote #"
"Quote #321 Satisfy them? I don't know if I'm ready for that kind of commitment. - Landail October 07, 2021 //prints the specific quote #"
"Quote #322 I thought they were doing something else there... (Start the 20 seconds of laughter) - Landail www.twitch.tv/landail/clip/CoyBrightPigPeteZarollTie - October 10, 2021 //prints the specific quote #"
"Quote #323 This cliff looks very erect. - Landail October 30, 2021 //prints the specific quote #"
"Quote #324 Rej: It went well tonight, Lan. I got a couple of my daughters married off to neighboring fiefdoms. - November 08, 2021 //prints the specific quote #"
"Quote #325 dingo2345: never trust manual, that guy has a nerve - November 09, 2021 //prints the specific quote #"
"Quote #326 MegaGoat: I believe in troubleshooting. If you see trouble, shoot it - November 10, 2021 //prints the specific quote #"
"Quote #327 Stop lying Zeldalia! - Landail clips.twitch.tv/RoundBoredMagpieArgieB8-_0wEJTvneS6HDmQK - November 12, 2021 //prints the specific quote #"
"Quote #328 This chest is buggy... I wants the chests! - Landail November 13, 2021 //prints the specific quote #"
"Quote #329 Gotta love the smell of those buns. - November 21, 2021 //prints the specific quote #"
"Quote #330 Acousticvis: Needs more instant death pits. - November 28, 2021 //prints the specific quote #"
"Quote #331 Callak3: Lan is lost already, woo. Landail: Nah I'm not lost.. I'm just revisting places.... for treasure. - November 28, 2021 //prints the specific quote #"
"Quote #332 I want my first child to be a masochist. - Landail November 29, 2021 //prints the specific quote #"
"Quote #333 zerodyne: I was a Pooh fan - December 05, 2021 //prints the specific quote #"
"Quote #334 Elthesh: just dont sneeze and fart at the same time. youll wind up with a mess noone wants to deal with - December 17, 2021 //prints the specific quote #"
"Quote #320 was ""I want my first child to be a masochist. - Landail November 29, 2021"""
"Quote #1 was ""Landail: You attacking me in game! Dragonsoul: :O I'll revive later though! :D - Late 2016"""
"Quote #1 was ""Landail: You attacking me in game! Dragonsoul: :O I'll revive later though! :D - Late 2016"""
"Quote #11 was ""Score! 5 Keys. - Landail October 2017"""
"Quote #11 was ""Score! 5 Keys. - Landail October 2017"""
"Quote #22 was ""Landail: Hing Hong Hing Hong. GruntyTfoot: It's the PingPong anthem. - November 2, 2017"""
"Quote #22 was ""Landail: Hing Hong Hing Hong. GruntyTfoot: It's the PingPong anthem. - November 2, 2017"""
"Quote #315 was ""Stop lying Zeldalia! - Landail clips.twitch.tv/RoundBoredMagpieArgieB8-_0wEJTvneS6HDmQK - November 12, 2021"""
"Quote #315 was ""Stop lying Zeldalia! - Landail clips.twitch.tv/RoundBoredMagpieArgieB8-_0wEJTvneS6HDmQK - November 12, 2021"""
"Quote #292 was ""You guys make a wish. I wish for this game to be over.. ayy, game over! - Landail clips.twitch.tv/RichAlluringPeppermintSuperVinlin June 11, 2020"""
"Quote #292 was ""You guys make a wish. I wish for this game to be over.. ayy, game over! - Landail clips.twitch.tv/RichAlluringPeppermintSuperVinlin June 11, 2020"""
"Quote #6,Quote #90,Quote #130,Quote #150,Quote #191,Quote #244,Quote #276"
"Quote #26,Quote #250,Quote #323"
//list all quotes containing the year 2016
//list all quotes containing the month july and year 2017 
"Quote #224,Quote #225,Quote #226,Quote #227,Quote #228 //list all quotes with September 2019"
"Quote #287,Quote #288,Quote #289,Quote #290,Quote #291,Quote #292,Quote #293,Quote #294,Quote #295,Quote #296,Quote #297,Quote #298,Quote #299"
"Quote # 60 Definitely gotta take the waifu. 2 waifu's get! - Landail March 15th, 2018  //list a random quote that is about `waifu's`"
"Quote # 61 Eternal_Ashes: BEEITCH ITS GOT A GODDAMN TURRET ON ITS BACK. That is not cute! - March 16th, 2018 //list a random quote that contains the word `turrets` from the quotelist"
"Quote # 62 Exploding toilet? Jeeze! - Landail March 16th, 2018"
"Quote # 63 Footstep sounds. The midboss that you can never defeat. Persona 1 PS - Landail March 16th, 2018"
"Quote # 64 Why is there a duck sound? Quack Quack. - Landail March 20th, 2018 //list a random quote with the word `duck` or `ducks` from the quotelist"
"Quote # 65 Let's go appraise this pot.... - Landail March 21st, 2018 //list a random quote with the word `pot` from the quotelist"
"Quote # 66 Treasure... sonuvabitch! - Landail March 21st, 2018 //list a random quote with the word `treasure` from the quotelist"
"Quote # 67 You think i'd be doing this right now if I had found a casino!? - Landail March 31, 2018 //list a random quote with the word `casino` from the quotelist"
"Quote # 68 If they do minecarts... they can go diaf. - Landail April 2nd, 2018 //list a random quote with the word `minecart` from the quotelist"
"Quote # 69 Noooooooo (cry/moan sounds) Why'd I take a chance there??? - Landail April 2, 2018 //list a random quote with the word `chance` from the quotelist"
"Quote # 70 The_Adversary: rectum?? Landail: Oh yeah rectum - April 5th, 2018 //list a random quote with the word `rectum` from the quotelist"
"Quote # 71 EvilYahweh: look out! they have string instruments! Landail: careful, the clarinet players bite...they have a really strong bite. - April 6th, 2018 //list a random quote with a musical instrument word from the quotelist"
"Quote # 72 Shhhhhshhhh. weirdo. - Landail April 6th, 2018 //list a random quote with the word `weirdo` from the quotelist"
"Quote # 73 Well we're boned. - Landail April 6th, 2018 //list a random quote with the word `boned` from the quotelist"
"Quote # 74 It's barely an rpg. It's barely an anything. - Landail April 13th, 2018 //list a random quote with the word `RPGS` from the quotelist or a random quote with the context of the quote being an RPG"
"Quote # 75 There you go, this guy's sleeping with a mountain goat, that's why it didn't come to North America. - Landail April 17th, 2018 //list a random quote with the word `goats` from the quotelist"
"Quote # 76 I wouldn't mind having a dream about a handsome stranger. - Landail April 27th, 2018 //list a random quote with the word `handsome stranger` from the quotelist"
"Quote # 78 AceAcer: Godzilla is busy, please come again later :P - April 28th, 2018 //list a random quote with the word `Godzilla` from the quotelist"
"Quote # 79 This game has a lot of minute details like that. Kill a chicken, get a shroom. - Landail April 28th, 2018 //list a random quote with the word `chicken` from the quotelist"
"Quote # 80 Oh man...don't piss of a pregnant woman. - Landail May 8th, 2018 //list a random quote with the word `pregant women` from the quotelist"
These quotes have clips - Quote # //list ALL quotes that contain the text `clips.twitch.tv` from the quotelist
"These are the quotes that contain clips.  Quote #53, Quote #54, Quote #107, Quote #119, Quote #126, Quote #141, Quote #166, Quote #167, Quote #177, Quote #181, Quote #219, Quote #223, Quote #229, Quote #230, Quote #234, Quote #239, Quote #241, Quote #244, Quote #253, Quote #265, Quote #268, Quote #269, Quote #271, Quote #272, Quote #274, Quote #278, Quote #291, Quote #292, Quote #310, Quote #315, Quote #333"
"These are the quotes that contain clips.  Quote #53, Quote #54, Quote #107, Quote #119, Quote #126, Quote #141, Quote #166, Quote #167, Quote #177, Quote #181, Quote #219, Quote #223, Quote #229, Quote #230, Quote #234, Quote #239, Quote #241, Quote #244, Quote #253, Quote #265, Quote #268, Quote #269, Quote #271, Quote #272, Quote #274, Quote #278, Quote #291, Quote #292, Quote #310, Quote #315, Quote #333"
"Quote #258: Butt Blaster, success! - Landail January 03, 2020 //list a random quote with the word butt from the quotelist"
"The following quotes were.... Lewd >_<  #70,#75,#77,#81,#87,#100,#103,#105,#146,#154,#157,#158,#165,#166,#170,#176,#178,#184,#185,#189,#193,#196,#200,#205,#230,#239,#245,#261,#263,#278,#284,#293,#300,#309,#311,#317  //print the quote #'s that contained content that could be considered sexual in nature."
"The quotes that fall within Summer 2020 (June 20th/21st - September 21st/22nd) are: Quote #299, #300,#301,#302,#303,#304,#305,#306,#307,#308,#309 //matches the quote # against the time frame the user provided"
"The quotes that fall within Summer 2020 (June 20th/21st - September 21st/22nd) are: Quote #299, #300,#301,#302,#303,#304,#305,#306,#307,#308,#309 //matches the quote # against the time frame the user provided"
"The quotes that fall within September 2019 are: Quote #236, #237, #238, #239 , #240 //matches the quote # against the time frame the user provided"
//print all the quote numbers that match the time frame the user provided
